state,households,pct_dog_owners,dog_households,mean_dogs_per_household,dog_population
Alabama,1828000,59.5,807000,1.7,1410000
Arizona,2515000,59.5,1008000,1.8,1798000
Arkansas,1148000,62.4,550000,2,1097000
California,12974000,52.9,4260000,1.6,6687000
Colorado,1986000,61.3,845000,1.6,1349000
Connecticut,1337000,54.4,379000,1.3,507000
Delaware,334000,56.6,113000,1.4,163000
Florida,7609000,54.4,2718000,1.5,4210000
Georgia,3798000,55.1,1522000,1.6,2479000
Idaho,568000,62,242000,1.5,357000
Illinois,5026000,51.8,1627000,1.5,2365000
Indiana,2478000,59.9,989000,1.6,1619000
Iowa,1219000,53.6,407000,1.5,610000
Kansas,1133000,61,480000,1.6,774000
Kentucky,1777000,61.6,816000,1.9,1531000
Louisiana,1702000,55.1,619000,1.8,1115000
Maine,548000,62.9,190000,1.6,300000
Maryland,2169000,52.3,667000,1.4,915000
Massachusetts,2618000,50.4,618000,1.4,850000
Michigan,3804000,55.4,1318000,1.5,2036000
Minnesota,2163000,53,690000,1.4,934000
Mississippi,1115000,56.4,504000,1.7,846000
Missouri,2498000,61.4,1148000,1.7,1978000
Montana,410000,61.3,169000,1.7,282000
Nebraska,710000,51.3,240000,1.6,374000
Nevada,986000,55.6,366000,1.6,578000
New Hampshire,508000,56.8,154000,1.4,212000
New Jersey,3177000,50.7,1028000,1.3,1340000
New Mexico,773000,67.6,356000,2,703000
New York,7512000,50.6,2177000,1.4,3054000
North Carolina,3701000,56.4,1491000,1.7,2518000
North Dakota,272000,53.9,98000,1.4,139000
Ohio,4661000,57.4,1708000,1.6,2730000
Oklahoma,1479000,58.9,638000,2.1,1327000
Oregon,1505000,63.6,584000,1.6,917000
Pennsylvania,5172000,56.9,1702000,1.5,2485000
Rhode Island,434000,53,127000,1.3,161000
South Carolina,1759000,54.1,678000,1.8,1191000
South Dakota,333000,65.6,143000,1.5,220000
Tennessee,2583000,59.6,1140000,1.9,2157000
Texas,9002000,58.5,3960000,1.8,7163000
Utah,930000,51.2,273000,1.5,410000
Vermont,265000,70.8,100000,1.4,142000
Virginia,3017000,53.4,1069000,1.6,1699000
Washington,2632000,62.7,954000,1.7,1609000
West Virginia,765000,62.1,350000,1.8,648000
Wisconsin,2350000,57.5,796000,1.4,1138000
Wyoming,221000,61.8,86000,1.5,125000
