state,per_capita_income,personal_income_m
Alabama,57251,295591
Arizona,66024,498904
Arkansas,59172,183202
California,86378,3400237
Colorado,82625,494799
Connecticut,95083,349377
Delaware,68177,71594
Florida,73340,1706306
Georgia,62875,704464
Idaho,62346,124747
Illinois,74564,947183
Indiana,63980,443689
Iowa,65448,211425
Kansas,65975,195633
Kentucky,58310,267298
Louisiana,61667,284587
Maine,68764,96850
Maryland,79486,496414
Massachusetts,93575,667993
Michigan,63945,645847
Minnesota,75548,437982
Mississippi,51948,153256
Missouri,64940,405457
Montana,69220,78742
Nebraska,72696,145799
Nevada,70104,228087
New Hampshire,83222,117220
New Jersey,84844,806559
New Mexico,58345,124086
New York,84978,1699680
North Carolina,65598,724995
North Dakota,72037,57153
Ohio,64587,766046
Oklahoma,63671,260910
Oregon,70940,302582
Pennsylvania,70856,924380
Rhode Island,70743,78554
South Carolina,60649,332983
South Dakota,75499,69996
Tennessee,66288,480671
Texas,69762,2184833
Utah,67345,235907
Vermont,71505,46229
Virginia,77277,681552
Washington,85512,677935
West Virginia,55432,97971
Wisconsin,67799,403888
Wyoming,86609,50815
